"Designator","MPN / Seeed SKU","Qty","Link"
"C1, C2, C3, C4",302010182,4,
"C14, C15",302010143,2,
"C22",302010139,1,
"C5, C7, C12, C13, C16, C17, C18, C19, C20, C21, C23",302010138,11,
"C6",302010095,1,
"C8, C9, C10, C11",302010178,4,
"D1","SMBJ15CA-13-F",1,"ShenZhen OPL"
"D2, D3",304020028,2,
"D4",304090045,1,
"D5",304090043,1,
"D6",304090044,1,
"D7",304090044,1,
"ESD1",304050022,1,
"F1",307010002,1,
"J1",320120002,1,
"J2, J4, J5",320030065,3,
"J3",320030019,1,
"J6, J8",320110033,2,
"J7",320020027,1,
"L1, L4",303030008,2,
"L2",303030006,1,
"L3",303010147,1,
"Q1",305030010,1,
"Q2",305030014,1,
"R1, R9, R10, R11, R21",301010089,5,
"R12, R14, R15, R24, R29",301010293,5,
"R13",301010100,1,
"R16, R17, R18, R19, R22, R23, R25, R26, R27, R28",301010291,10,
"R2",301010232,1,
"R20",301010292,1,
"R3, R4",301010289,2,
"R30",301010088,1,
"R5",301010185,1,
"R6",301010112,1,
"R7",301010215,1,
"R8",301010193,1,
"SW1",311020025,1,
"U1",310030097,1,
"U2",310030121,1,
"U3",317060163,1,
"U4","ATECC608A-SSHDA-B (SOIC-8)",1,"https://www.mouser.com/ProductDetail/556-ATECC608ASSHDAB"
"U5",310010016,1,
"USB1",320010000,1,
"X1",306010049,1,
